,상품군별(1),운영형태별(1),날짜,거래액
138,컴퓨터 및 주변기기,온라인 전용몰,2017.04,302977
139,컴퓨터 및 주변기기,온·오프라인 병행몰,2017.04,65303
140,가전·전자·통신기기,온라인 전용몰,2017.04,559478
141,가전·전자·통신기기,온·오프라인 병행몰,2017.04,157230
142,서적,온라인 전용몰,2017.04,37367
143,서적,온·오프라인 병행몰,2017.04,85051
144,사무·문구,온라인 전용몰,2017.04,45571
145,사무·문구,온·오프라인 병행몰,2017.04,16383
146,의복,온라인 전용몰,2017.04,723872
147,의복,온·오프라인 병행몰,2017.04,248775
148,신발,온라인 전용몰,2017.04,108686
149,신발,온·오프라인 병행몰,2017.04,42943
150,가방,온라인 전용몰,2017.04,105625
151,가방,온·오프라인 병행몰,2017.04,53774
152,패션용품 및 액세서리,온라인 전용몰,2017.04,98902
153,패션용품 및 액세서리,온·오프라인 병행몰,2017.04,66281
154,스포츠·레저용품,온라인 전용몰,2017.04,229141
155,스포츠·레저용품,온·오프라인 병행몰,2017.04,54014
156,화장품,온라인 전용몰,2017.04,245905
157,화장품,온·오프라인 병행몰,2017.04,337431
158,아동·유아용품,온라인 전용몰,2017.04,248282
159,아동·유아용품,온·오프라인 병행몰,2017.04,45314
160,음·식료품,온라인 전용몰,2017.04,422008
161,음·식료품,온·오프라인 병행몰,2017.04,230905
162,농축수산물,온라인 전용몰,2017.04,98629
163,농축수산물,온·오프라인 병행몰,2017.04,77510
164,생활용품,온라인 전용몰,2017.04,440803
165,생활용품,온·오프라인 병행몰,2017.04,134521
166,자동차 및 자동차용품,온라인 전용몰,2017.04,72678
167,자동차 및 자동차용품,온·오프라인 병행몰,2017.04,7835
168,가구,온라인 전용몰,2017.04,138668
169,가구,온·오프라인 병행몰,2017.04,67356
170,애완용품,온라인 전용몰,2017.04,55195
171,애완용품,온·오프라인 병행몰,2017.04,4188
172,여행 및 교통서비스,온라인 전용몰,2017.04,514669
173,여행 및 교통서비스,온·오프라인 병행몰,2017.04,620172
174,문화 및 레저서비스,온라인 전용몰,2017.04,84314
175,문화 및 레저서비스,온·오프라인 병행몰,2017.04,35285
176,이쿠폰서비스,온라인 전용몰,2017.04,83354
177,이쿠폰서비스,온·오프라인 병행몰,2017.04,1579
178,음식서비스,온라인 전용몰,2017.04,173147
179,음식서비스,온·오프라인 병행몰,2017.04,23397
180,기타서비스,온라인 전용몰,2017.04,29884
181,기타서비스,온·오프라인 병행몰,2017.04,23333
182,기타,온라인 전용몰,2017.04,147127
183,기타,온·오프라인 병행몰,2017.04,15937
184,컴퓨터 및 주변기기,온라인 전용몰,2017.05,284161
185,컴퓨터 및 주변기기,온·오프라인 병행몰,2017.05,66763
186,가전·전자·통신기기,온라인 전용몰,2017.05,672600
187,가전·전자·통신기기,온·오프라인 병행몰,2017.05,189018
188,서적,온라인 전용몰,2017.05,35363
189,서적,온·오프라인 병행몰,2017.05,79017
190,사무·문구,온라인 전용몰,2017.05,40733
191,사무·문구,온·오프라인 병행몰,2017.05,16506
192,의복,온라인 전용몰,2017.05,725010
193,의복,온·오프라인 병행몰,2017.05,253225
194,신발,온라인 전용몰,2017.05,115003
195,신발,온·오프라인 병행몰,2017.05,45559
196,가방,온라인 전용몰,2017.05,106380
197,가방,온·오프라인 병행몰,2017.05,45991
198,패션용품 및 액세서리,온라인 전용몰,2017.05,100422
199,패션용품 및 액세서리,온·오프라인 병행몰,2017.05,68280
200,스포츠·레저용품,온라인 전용몰,2017.05,237938
201,스포츠·레저용품,온·오프라인 병행몰,2017.05,55033
202,화장품,온라인 전용몰,2017.05,252477
203,화장품,온·오프라인 병행몰,2017.05,370375
204,아동·유아용품,온라인 전용몰,2017.05,234127
205,아동·유아용품,온·오프라인 병행몰,2017.05,40438
206,음·식료품,온라인 전용몰,2017.05,400562
207,음·식료품,온·오프라인 병행몰,2017.05,232792
208,농축수산물,온라인 전용몰,2017.05,97741
209,농축수산물,온·오프라인 병행몰,2017.05,78021
210,생활용품,온라인 전용몰,2017.05,456021
211,생활용품,온·오프라인 병행몰,2017.05,144537
212,자동차 및 자동차용품,온라인 전용몰,2017.05,76984
213,자동차 및 자동차용품,온·오프라인 병행몰,2017.05,10228
214,가구,온라인 전용몰,2017.05,135359
215,가구,온·오프라인 병행몰,2017.05,66080
216,애완용품,온라인 전용몰,2017.05,52045
217,애완용품,온·오프라인 병행몰,2017.05,4067
218,여행 및 교통서비스,온라인 전용몰,2017.05,553876
219,여행 및 교통서비스,온·오프라인 병행몰,2017.05,628019
220,문화 및 레저서비스,온라인 전용몰,2017.05,74403
221,문화 및 레저서비스,온·오프라인 병행몰,2017.05,59382
222,이쿠폰서비스,온라인 전용몰,2017.05,92651
223,이쿠폰서비스,온·오프라인 병행몰,2017.05,5962
